p,H/C,GHSV,rate,n_points,T_min_C,T_max_C,lnA,A,Ea_J_mol,Ea_kJ_mol,R2_ln,RMSE_ln,status,cluster_id
3,2,4000,r_CO,5,220,260,0.788829347666428,2.200818524295631,31790.704684142765,31.790704684142767,0.999002637498745,0.006498487165840634,ok,5
3,2,8000,r_CO,5,220,260,3.8668373010031196,47.79099826768587,42073.706194514256,42.07370619451426,0.9603960937298849,0.055274331627884414,ok,2
3,2,12000,r_CO,5,220,260,6.6214041471534175,750.9988700382014,52390.76727358479,52.390767273584785,0.95739301325623,0.07150212564259216,ok,1
3,3,4000,r_CO,5,220,260,0.5427001858072373,1.7206466608995055,31440.199127340064,31.440199127340062,0.9972901269374946,0.010602735135847327,ok,5
3,3,8000,r_CO,5,220,260,2.9150700336878073,18.450104486359315,38575.53918997201,38.57553918997201,0.9759403840112909,0.0391844374829291,ok,3
3,3,12000,r_CO,5,220,260,5.571499997911645,262.8280452262973,48374.48608058124,48.37448608058124,0.9466692118293523,0.07428055657803392,ok,1
3,4,4000,r_CO,5,220,260,0.5908610422675019,1.8055423945984763,32180.51675569205,32.18051675569205,0.9959829503563411,0.013221769192095945,ok,5
3,4,8000,r_CO,5,220,260,1.414365875419359,4.11387692819278,32746.331531128715,32.74633153112872,0.9525462981096325,0.047285018889231166,ok,5
3,4,12000,r_CO,5,220,260,5.0655548413641505,158.46834247735146,46701.87768449988,46.70187768449988,0.9546604383371087,0.06584418830433228,ok,1
4,2,4000,r_CO,5,220,260,0.4843966052582828,1.623195285793858,31042.06506070934,31.04206506070934,0.9886299941357933,0.021536888931921135,ok,5
4,2,8000,r_CO,5,220,260,2.1129565604992218,8.272663794520591,34881.892964562685,34.88189296456269,0.9640117579428127,0.04360217026538652,ok,3
4,2,12000,r_CO,5,220,260,4.917791506895938,136.7003777253187,45231.053332314645,45.231053332314644,0.947906054343084,0.06859881123867141,ok,1
4,3,4000,r_CO,5,220,260,-0.25783793162643437,0.7727204555067224,28312.433441638244,28.312433441638245,0.7880123979663441,0.09500245204697863,ok,4
4,3,8000,r_CO,5,220,260,0.8985875559569336,2.4561315116914337,30293.876794659875,30.293876794659873,0.9840619474414122,0.024941936735792057,ok,5
4,3,12000,r_CO,5,220,260,3.803639394751764,44.86416614693722,41073.909231497935,41.073909231497936,0.9419507917325552,0.06596582405678732,ok,2
4,4,4000,r_CO,5,220,260,-0.5912801912279693,0.5536180938539951,27795.136894061332,27.795136894061333,0.9748358289499159,0.028891048320574982,ok,4
4,4,8000,r_CO,5,220,260,0.25346579325464047,1.288483303911178,28059.510491160156,28.059510491160157,0.9059874701787877,0.05847641973705838,ok,5
4,4,12000,r_CO,5,220,260,2.825908410767711,16.876268609086477,37380.27793294475,37.38027793294475,0.9358474600121671,0.06331634424016437,ok,3
5,2,4000,r_CO,5,220,260,-0.46572748606158343,0.6276783118313707,27439.313751199184,27.439313751199183,0.9900480199062275,0.017797900544560936,ok,4
5,2,8000,r_CO,5,220,260,0.6872949782659015,1.9883297769719623,29028.7194884664,29.0287194884664,0.9624543818224209,0.03709252018616898,ok,5
5,2,12000,r_CO,5,220,260,3.212675585182565,24.845473553400126,38120.292625609116,38.12029262560912,0.9360420989396401,0.06446508308471431,ok,3
5,3,4000,r_CO,5,220,260,-1.7208367010416454,0.17891638574083132,22917.869560142473,22.917869560142474,0.9333244062453236,0.03962874220160866,ok,7
5,3,8000,r_CO,5,220,260,-0.3038951780613562,0.7379382145108779,25536.41054776896,25.53641054776896,0.9789949910521363,0.0241991417121282,ok,4
5,3,12000,r_CO,5,220,260,2.205657431418344,9.076216596793273,34475.55558134411,34.47555558134411,0.9352127051608181,0.058704299247616186,ok,3
5,4,4000,r_CO,5,220,260,-0.6496704334440402,0.5222178539436012,28252.98517760628,28.252985177606277,0.9817625007746527,0.024912234045358358,ok,4
5,4,8000,r_CO,5,220,260,-0.9065507547332804,0.40391502603784096,23610.665346151396,23.610665346151396,0.9648372325909963,0.029160276175865554,ok,7
5,4,12000,r_CO,5,220,260,1.2517902151609963,3.4965970187287274,30992.798452070252,30.992798452070254,0.9370116387351504,0.05198611517325703,ok,5
6,2,4000,r_CO,5,220,260,-3.4809508380699987,0.03077813209547305,14811.17706667258,14.811177066672581,0.3612130319931014,0.1274250470983651,ok,6
6,2,8000,r_CO,5,220,260,-0.4905066810610285,0.6123160666181859,24293.73408756781,24.29373408756781,0.9535741765160852,0.03467893494983525,ok,4
6,2,12000,r_CO,5,220,260,1.441958032555198,4.22896817294,30839.905988657847,30.839905988657847,0.9042816666217934,0.06491239856777246,ok,5
6,3,4000,r_CO,5,220,260,-2.884946202317051,0.055857794475571966,18281.18757560559,18.28118757560559,0.9225270131230454,0.03427353650219074,ok,6
6,3,8000,r_CO,5,220,260,-1.7450275504404236,0.17464017748672656,19659.963051560422,19.65996305156042,0.9567321766072482,0.027048235668885433,ok,7
6,3,12000,r_CO,5,220,260,0.5246335750958748,1.6898395356303832,27403.70735949704,27.403707359497037,0.8619872383695049,0.07093938784561149,ok,5
6,4,4000,r_CO,5,220,260,-2.9614114797627162,0.05174582741430268,18607.76449420453,18.60776449420453,0.9075199549321274,0.03842899580578125,ok,6
6,4,8000,r_CO,5,220,260,-2.2434681744078326,0.10608992723322541,18172.113689310005,18.172113689310006,0.972059634415506,0.01993168170849364,ok,7
