rate,factor_tested,p,H/C,n_levels,levels_tested,Ea_min,Ea_max,Ea_range,lnk_ref_min,lnk_ref_max,lnk_ref_range,pass
r_CO,GHSV,3,2,3,"4000, 8000, 12000",31.790704684142767,52.390767273584785,20.600062589442018,-6.519863992484853,-5.423250278165432,1.096613714319421,False
r_CO,GHSV,3,3,3,"4000, 8000, 12000",31.440199127340062,48.37448608058124,16.93428695324118,-6.685411812906598,-5.549810075681603,1.1356017372249951,False
r_CO,GHSV,3,4,3,"4000, 8000, 12000",32.18051675569205,46.70187768449988,14.52136092880783,-6.8074502198376745,-5.671222018304507,1.136228201533168,False
r_CO,GHSV,4,2,3,"4000, 8000, 12000",31.04206506070934,45.231053332314644,14.188988271605304,-6.65218424212745,-5.480842356127836,1.171341885999614,False
r_CO,GHSV,4,3,3,"4000, 8000, 12000",28.312433441638245,41.073909231497936,12.761475789859691,-6.766875582546868,-5.63926568825401,1.127609894292858,False
r_CO,GHSV,4,4,3,"4000, 8000, 12000",27.795136894061333,37.38027793294475,9.585141038883418,-6.981391197718137,-5.767829636120885,1.2135615615972526,False
r_CO,GHSV,5,2,3,"4000, 8000, 12000",27.439313751199183,38.12029262560912,10.680978874409934,-6.774034636350808,-5.551192080084322,1.2228425562664862,False
r_CO,GHSV,5,3,3,"4000, 8000, 12000",22.917869560142474,34.47555558134411,11.557686021201636,-6.989662362154407,-5.7202840026848305,1.2693783594695764,False
r_CO,GHSV,5,4,3,"4000, 8000, 12000",23.610665346151396,30.992798452070254,7.382133105918857,-7.145040909140431,-5.873464222884966,1.2715766862554654,False
r_CO,GHSV,6,2,3,"4000, 8000, 12000",14.811177066672581,30.839905988657847,16.028728921985266,-6.886045259930571,-5.6481463784560075,1.237898881474563,False
r_CO,GHSV,6,3,3,"4000, 8000, 12000",18.28118757560559,27.403707359497037,9.122519783891448,-7.087797168075307,-5.775487654167507,1.3123095139077998,False
r_CO,GHSV,6,4,3,"4000, 8000, 12000",18.172113689310006,27.513342222642176,9.34122853333217,-7.239342585257596,-5.979550476871984,1.2597921083856116,False
r_CO,GHSV,7,2,3,"4000, 8000, 12000",20.225900522511314,28.23783974290636,8.011939220395046,-6.988762248605969,-5.671709484002349,1.3170527646036199,False
r_CO,GHSV,7,3,3,"4000, 8000, 12000",13.22261039036255,18.3977818724487,5.175171482086149,-7.228128251760047,-5.85887907146057,1.3692491802994775,False
r_CO,GHSV,7,4,3,"4000, 8000, 12000",13.205596119713748,18.788759458577136,5.583163338863388,-7.393218126172563,-6.049642277159315,1.3435758490132486,False
