rate,factor_tested,p,GHSV,n_levels,levels_tested,Ea_min,Ea_max,Ea_range,lnk_ref_min,lnk_ref_max,lnk_ref_range,pass
r_CH3OH,H/C,3,4000,3,"2, 3, 4",-14.009234343184701,-10.88161005085193,3.127624292332772,-6.677517997031208,-6.564788223120235,0.1127297739109725,False
r_CH3OH,H/C,3,8000,3,"2, 3, 4",-3.2799139797239563,1.980530639827745,5.260444619551701,-6.0587543439893325,-5.909398229461939,0.14935611452739384,False
r_CH3OH,H/C,3,12000,3,"2, 3, 4",-0.5879398260538584,2.5962959505844947,3.184235776638353,-5.679502997310253,-5.5769639701250435,0.1025390271852098,False
r_CH3OH,H/C,4,4000,3,"2, 3, 4",-2.2097002799015395,0.7714596264991329,2.9811599064006726,-6.337489638696928,-6.218013175959795,0.11947646273713275,False
r_CH3OH,H/C,4,8000,3,"2, 3, 4",6.12967922797766,7.778487737247699,1.6488085092700384,-5.738401776835503,-5.634068206650139,0.10433357018536427,True
r_CH3OH,H/C,4,12000,3,"2, 3, 4",9.273781916116393,12.136013163340865,2.8622312472244715,-5.404861864755636,-5.287790514502239,0.1170713502533971,False
r_CH3OH,H/C,5,4000,3,"2, 3, 4",3.7515414488680148,6.41431770399186,2.662776255123845,-6.08974666443738,-6.009538813606349,0.0802078508310311,False
r_CH3OH,H/C,5,8000,3,"2, 3, 4",12.978046862497983,15.517363250124179,2.5393163876261955,-5.511447907283321,-5.424796230768932,0.08665167651438921,False
r_CH3OH,H/C,5,12000,3,"2, 3, 4",14.943694073610686,17.17259823487957,2.2289041612688827,-5.182409432732923,-5.090738113510818,0.09167131922210547,False
r_CH3OH,H/C,6,4000,3,"2, 3, 4",7.891267271432859,11.376548556044414,3.4852812846115544,-5.95953264629962,-5.914294326131599,0.04523832016802132,False
r_CH3OH,H/C,6,8000,3,"2, 3, 4",15.792591467490329,18.27856680378537,2.4859753362950414,-5.377884093617488,-5.299771485333353,0.07811260828413502,False
r_CH3OH,H/C,6,12000,3,"2, 3, 4",16.05266703194749,18.82593791987381,2.7732708879263193,-5.013790705821877,-4.9476873681532085,0.06610333766866816,False
r_CH3OH,H/C,7,4000,3,"2, 3, 4",8.495790176680762,14.339825270488557,5.844035093807795,-5.875256902446974,-5.796727445451964,0.07852945699501035,False
r_CH3OH,H/C,7,8000,3,"2, 3, 4",16.992104460123336,19.46225311235932,2.4701486522359843,-5.285797198714661,-5.214689689597209,0.07110750911745267,False
r_CH3OH,H/C,7,12000,3,"2, 3, 4",9.938323990876935,19.767907681676025,9.82958369079909,-4.940252624303801,-4.8582911056845965,0.0819615186192042,False
