fit,model,GHSV,Tave_K,species,R2,RMSE,MRE_%
GHSV_4000_simple_powerlaw,simple_powerlaw,4000.0,507.1499999999998,CH3OH,0.673653510871012,0.00018841641972554518,9.325973791008273
GHSV_4000_simple_powerlaw,simple_powerlaw,4000.0,507.1499999999998,CO,0.9935005152502275,2.3958386486069754e-05,1.7324740244058632
GHSV_4000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,4000.0,507.1499999999998,CH3OH,0.688942863126353,0.00018394981685747452,9.697142935294547
GHSV_4000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,4000.0,507.1499999999998,CO,0.8082745786296489,0.00013012416401861788,9.525939513654908
GHSV_4000_reversible_rf_minus_rr,reversible_rf_minus_rr,4000.0,507.1499999999998,CH3OH,0.9746371192218752,5.252651226199177e-05,1.9259519657383237
GHSV_4000_reversible_rf_minus_rr,reversible_rf_minus_rr,4000.0,507.1499999999998,CO,0.9998107108602211,4.088659559733945e-06,0.2448264218975695
GHSV_8000_simple_powerlaw,simple_powerlaw,8000.0,505.6499999999999,CH3OH,0.7365444262547205,0.0002980756596524136,7.46737583458601
GHSV_8000_simple_powerlaw,simple_powerlaw,8000.0,505.6499999999999,CO,0.9676230390962292,0.00010919571450532075,3.9305049086740054
GHSV_8000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,8000.0,505.6499999999999,CH3OH,0.8283879888861096,0.00024057287515944344,6.68578559462663
GHSV_8000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,8000.0,505.6499999999999,CO,0.4951945410367703,0.00043117103201190923,14.734811247999675
GHSV_8000_reversible_rf_minus_rr,reversible_rf_minus_rr,8000.0,505.6499999999999,CH3OH,0.9881803413250475,6.313574156140736e-05,1.4516521098284654
GHSV_8000_reversible_rf_minus_rr,reversible_rf_minus_rr,8000.0,505.6499999999999,CO,0.9911744859236109,5.7010855750580306e-05,2.260181859357168
GHSV_12000_simple_powerlaw,simple_powerlaw,12000.0,504.0195652173912,CH3OH,0.8181304554948043,0.00032376482805005375,5.578056275685083
GHSV_12000_simple_powerlaw,simple_powerlaw,12000.0,504.0195652173912,CO,0.9602583977844107,0.00020986429936993025,5.058009118167557
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,12000.0,504.0195652173912,CH3OH,0.7298078876865673,0.00039462628716402924,7.40245572643744
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,12000.0,504.0195652173912,CO,0.7063255172592047,0.000570491247668314,12.707863469692288
GHSV_12000_reversible_rf_minus_rr,reversible_rf_minus_rr,12000.0,504.0195652173912,CH3OH,0.9782290193487788,0.00011201822174224637,1.623636841213297
GHSV_12000_reversible_rf_minus_rr,reversible_rf_minus_rr,12000.0,504.0195652173912,CO,0.9922540650518208,9.265157415764983e-05,2.423609747107313
